year,sector_key,gdp_current_million_sgd
2005,accomm,1500.4
2006,accomm,1760.3
2007,accomm,2155.1
2008,accomm,2421.2
2009,accomm,1910.5
2010,accomm,2592.4
2011,accomm,3333.3
2012,accomm,3494.6
2013,accomm,3470.1
2014,accomm,3640.3
2015,accomm,3604.7
2016,accomm,3787.3
2017,accomm,3942.6
2018,accomm,4223.6
2019,accomm,4252.1
2020,accomm,2274.4
2021,accomm,2098.6
2022,accomm,3607.7
2023,accomm,5052.4
2024,accomm,5460.7
2025,accomm,5642.5
1960,accomm_food,81.5
1961,accomm_food,86.5
1962,accomm_food,91.1
1963,accomm_food,97.1
1964,accomm_food,100.8
1965,accomm_food,105.2
1966,accomm_food,114.9
1967,accomm_food,132.7
1968,accomm_food,151.5
1969,accomm_food,169.4
1970,accomm_food,191.8
1971,accomm_food,230.2
1972,accomm_food,276.7
1973,accomm_food,358.2
1974,accomm_food,415.6
1975,accomm_food,463.1
1976,accomm_food,508.7
1977,accomm_food,572.8
1978,accomm_food,668.1
1979,accomm_food,790.2
1980,accomm_food,998.9
1981,accomm_food,1181.9
1982,accomm_food,1348.1
1983,accomm_food,1399.4
1984,accomm_food,1410.5
1985,accomm_food,1388.7
1986,accomm_food,1367.2
1987,accomm_food,1471.2
1988,accomm_food,1719.8
1989,accomm_food,2101.3
1990,accomm_food,2371.4
1991,accomm_food,2446.8
1992,accomm_food,2631.8
1993,accomm_food,2823.2
1994,accomm_food,2989.7
1995,accomm_food,3239.8
1996,accomm_food,3441.8
1997,accomm_food,3720.6
1998,accomm_food,3485.0
1999,accomm_food,3591.0
2000,accomm_food,3805.7
2001,accomm_food,3836.2
2002,accomm_food,3694.8
2003,accomm_food,3474.1
2004,accomm_food,3857.7
2005,accomm_food,3980.7
2006,accomm_food,4303.2
2007,accomm_food,4869.7
2008,accomm_food,5355.0
2009,accomm_food,4970.7
2010,accomm_food,6065.9
2011,accomm_food,7227.9
2012,accomm_food,7847.6
2013,accomm_food,8208.3
2014,accomm_food,8666.6
2015,accomm_food,8763.1
2016,accomm_food,9253.4
2017,accomm_food,9534.8
2018,accomm_food,9958.2
2019,accomm_food,10127.7
2020,accomm_food,7256.6
2021,accomm_food,7571.8
2022,accomm_food,10304.7
2023,accomm_food,12514.4
2024,accomm_food,13076.2
2025,accomm_food,13274.3
2005,admin_support,4770.0
2006,admin_support,5390.8
2007,admin_support,6666.4
2008,admin_support,7855.3
2009,admin_support,7927.6
2010,admin_support,9679.3
2011,admin_support,11736.2
2012,admin_support,12922.3
2013,admin_support,14391.4
2014,admin_support,16465.5
2015,admin_support,19666.3
2016,admin_support,24033.4
2017,admin_support,25627.7
2018,admin_support,26913.1
2019,admin_support,21786.1
2020,admin_support,17775.2
2021,admin_support,16723.6
2022,admin_support,18610.8
2023,admin_support,16778.7
2024,admin_support,17620.6
2025,admin_support,18449.9
2005,arts_entertainment,1674.7
2006,arts_entertainment,1834.8
2007,arts_entertainment,1929.8
2008,arts_entertainment,2054.0
2009,arts_entertainment,2018.0
2010,arts_entertainment,4568.0
2011,arts_entertainment,5768.5
2012,arts_entertainment,5741.1
2013,arts_entertainment,5629.2
2014,arts_entertainment,5786.9
2015,arts_entertainment,5325.5
2016,arts_entertainment,5257.0
2017,arts_entertainment,5970.1
2018,arts_entertainment,6043.6
2019,arts_entertainment,6174.7
2020,arts_entertainment,3060.2
2021,arts_entertainment,3323.2
2022,arts_entertainment,4728.5
2023,arts_entertainment,6193.0
2024,arts_entertainment,6704.2
2025,arts_entertainment,7615.4
2005,community_other,3205.6
2006,community_other,3338.2
2007,community_other,3627.1
2008,community_other,3824.0
2009,community_other,4015.5
2010,community_other,4205.8
2011,community_other,4521.8
2012,community_other,4794.4
2013,community_other,4979.8
2014,community_other,5173.7
2015,community_other,5516.1
2016,community_other,5832.7
2017,community_other,6120.8
2018,community_other,6396.7
2019,community_other,6910.9
2020,community_other,5890.4
2021,community_other,6142.2
2022,community_other,6802.3
2023,community_other,7636.7
2024,community_other,8283.8
2025,community_other,8634.5
1960,community_social,330.8
1961,community_social,359.1
1962,community_social,383.1
1963,community_social,424.0
1964,community_social,437.7
1965,community_social,464.8
1966,community_social,505.2
1967,community_social,530.5
1968,community_social,577.2
1969,community_social,616.6
1970,community_social,683.1
1971,community_social,778.5
1972,community_social,860.8
1973,community_social,994.5
1974,community_social,1246.5
1975,community_social,1399.3
1976,community_social,1483.3
1977,community_social,1544.8
1978,community_social,1680.7
1979,community_social,1862.7
1980,community_social,2095.9
1981,community_social,2422.4
1982,community_social,3072.7
1983,community_social,3510.0
1984,community_social,3924.1
1985,community_social,4307.6
1986,community_social,4318.2
1987,community_social,4567.2
1988,community_social,5095.4
1989,community_social,5893.7
1990,community_social,6553.3
1991,community_social,7325.6
1992,community_social,7947.2
1993,community_social,8779.5
1994,community_social,10242.1
1995,community_social,10927.2
1996,community_social,12280.4
1997,community_social,13383.6
1998,community_social,13509.9
1999,community_social,13718.5
2000,community_social,15745.3
2001,community_social,17447.9
2002,community_social,18804.2
2003,community_social,18949.1
2004,community_social,20162.5
2005,community_social,20818.3
2006,community_social,22543.0
2007,community_social,24185.3
2008,community_social,25945.8
2009,community_social,26966.1
2010,community_social,32433.5
2011,community_social,35896.8
2012,community_social,37567.1
