year,sector_key,resident_employment_thousands
2000,accomm_food,92.6
2001,accomm_food,105.0
2002,accomm_food,103.5
2003,accomm_food,107.8
2004,accomm_food,107.9
2005,accomm_food,103.2
2006,accomm_food,128.8
2007,accomm_food,123.1
2008,accomm_food,120.0
2009,accomm_food,124.9
2010,accomm_food,128.9
2011,accomm_food,135.2
2012,accomm_food,129.3
2013,accomm_food,135.1
2014,accomm_food,137.1
2015,accomm_food,139.1
2016,accomm_food,138.2
2017,accomm_food,134.4
2018,accomm_food,134.4
2019,accomm_food,131.8
2020,accomm_food,128.9
2021,accomm_food,125.2
2022,accomm_food,126.6
2023,accomm_food,139.5
2024,accomm_food,147.5
2025,accomm_food,145.8
2000,admin_support,53.8
2001,admin_support,57.2
2002,admin_support,62.1
2003,admin_support,64.9
2004,admin_support,68.8
2005,admin_support,73.6
2006,admin_support,80.5
2007,admin_support,88.2
2008,admin_support,87.2
2009,admin_support,88.7
2010,admin_support,100.1
2011,admin_support,97.4
2012,admin_support,102.1
2013,admin_support,99.3
2014,admin_support,102.0
2015,admin_support,108.9
2016,admin_support,115.9
2017,admin_support,114.7
2018,admin_support,117.9
2019,admin_support,120.0
2020,admin_support,128.3
2021,admin_support,120.0
2022,admin_support,120.3
2023,admin_support,125.2
2024,admin_support,124.0
2025,admin_support,127.8
2000,arts_entertainment,19.4
2001,arts_entertainment,13.5
2002,arts_entertainment,15.3
2003,arts_entertainment,14.4
2004,arts_entertainment,14.1
2005,arts_entertainment,18.4
2006,arts_entertainment,19.7
2007,arts_entertainment,22.1
2008,arts_entertainment,21.1
2009,arts_entertainment,22.6
2010,arts_entertainment,32.9
2011,arts_entertainment,33.7
2012,arts_entertainment,39.0
2013,arts_entertainment,37.2
2014,arts_entertainment,35.1
2015,arts_entertainment,37.0
2016,arts_entertainment,40.4
2017,arts_entertainment,35.2
2018,arts_entertainment,37.7
2019,arts_entertainment,34.3
2020,arts_entertainment,34.4
2021,arts_entertainment,33.0
2022,arts_entertainment,34.5
2023,arts_entertainment,35.6
2024,arts_entertainment,37.8
2025,arts_entertainment,37.3
2000,community_other,46.0
2001,community_other,50.4
2002,community_other,52.5
2003,community_other,51.4
2004,community_other,52.0
2005,community_other,55.2
2006,community_other,61.3
2007,community_other,63.5
2008,community_other,68.0
2009,community_other,68.7
2010,community_other,65.8
2011,community_other,65.7
2012,community_other,65.3
2013,community_other,69.3
2014,community_other,66.3
2015,community_other,67.1
2016,community_other,64.9
2017,community_other,65.5
2018,community_other,67.1
2019,community_other,64.1
2020,community_other,65.4
2021,community_other,73.5
2022,community_other,69.8
2023,community_other,71.3
2024,community_other,73.0
2025,community_other,77.2
2000,construction,92.3
2001,construction,100.0
2002,construction,96.5
2003,construction,97.7
2004,construction,92.6
2005,construction,85.5
2006,construction,95.0
2007,construction,100.8
2008,construction,105.5
2009,construction,113.8
2010,construction,104.0
2011,construction,99.7
2012,construction,104.5
2013,construction,101.9
2014,construction,98.2
2015,construction,110.6
2016,construction,101.2
2017,construction,100.7
2018,construction,104.4
2019,construction,98.0
2020,construction,97.2
2021,construction,98.4
2022,construction,97.7
2023,construction,94.3
2024,construction,102.9
2025,construction,103.6
2000,finance_insurance,91.3
2001,finance_insurance,89.1
2002,finance_insurance,90.8
2003,finance_insurance,88.6
2004,finance_insurance,91.9
2005,finance_insurance,103.5
2006,finance_insurance,106.3
2007,finance_insurance,109.7
2008,finance_insurance,123.6
2009,finance_insurance,121.9
2010,finance_insurance,126.0
2011,finance_insurance,145.5
2012,finance_insurance,150.6
2013,finance_insurance,147.8
2014,finance_insurance,165.6
2015,finance_insurance,167.3
2016,finance_insurance,190.7
2017,finance_insurance,189.6
2018,finance_insurance,196.0
2019,finance_insurance,209.4
2020,finance_insurance,207.9
2021,finance_insurance,225.2
2022,finance_insurance,235.8
2023,finance_insurance,236.2
2024,finance_insurance,239.4
2025,finance_insurance,235.3
2000,health_social,46.3
2001,health_social,53.8
2002,health_social,53.1
2003,health_social,55.6
2004,health_social,61.7
2005,health_social,60.1
2006,health_social,70.8
2007,health_social,69.9
2008,health_social,74.3
2009,health_social,76.9
2010,health_social,83.3
2011,health_social,87.4
2012,health_social,90.8
2013,health_social,94.8
2014,health_social,107.7
2015,health_social,105.7
2016,health_social,115.9
2017,health_social,124.8
2018,health_social,126.0
2019,health_social,136.2
2020,health_social,139.9
2021,health_social,152.9
2022,health_social,160.3
2023,health_social,168.4
2024,health_social,174.5
2025,health_social,182.8
2000,info_comms,55.2
2001,info_comms,75.0
2002,info_comms,65.4
2003,info_comms,68.2
2004,info_comms,67.5
2005,info_comms,64.0
2006,info_comms,74.8
2007,info_comms,87.8
2008,info_comms,87.0
2009,info_comms,94.3
2010,info_comms,100.5
2011,info_comms,86.0
2012,info_comms,86.5
2013,info_comms,92.3
2014,info_comms,88.4
2015,info_comms,86.1
2016,info_comms,87.0
2017,info_comms,91.3
2018,info_comms,94.1
2019,info_comms,102.6
2020,info_comms,111.4
2021,info_comms,120.4
2022,info_comms,132.8
2023,info_comms,136.0
2024,info_comms,139.1
2025,info_comms,129.4
2000,manufacturing,288.8
2001,manufacturing,306.9
2002,manufacturing,298.3
2003,manufacturing,302.5
2004,manufacturing,296.6
2005,manufacturing,273.9
2006,manufacturing,301.7
2007,manufacturing,304.5
2008,manufacturing,311.9
2009,manufacturing,293.6
2010,manufacturing,291.4
2011,manufacturing,292.4
2012,manufacturing,288.2
2013,manufacturing,280.0
2014,manufacturing,249.3
2015,manufacturing,238.6
2016,manufacturing,227.2
2017,manufacturing,223.4
2018,manufacturing,227.8
2019,manufacturing,214.4
2020,manufacturing,213.0
2021,manufacturing,212.1
2022,manufacturing,224.9
2023,manufacturing,212.0
2024,manufacturing,212.2
2025,manufacturing,210.2
2000,others,13.1
2001,others,20.7
2002,others,19.2
2003,others,20.3
2004,others,21.2
2005,others,19.5
2006,others,22.4
2007,others,20.5
2008,others,22.7
2009,others,20.8
2010,others,37.5
2011,others,23.5
2012,others,26.4
2013,others,26.8
2014,others,24.8
2015,others,23.2
2016,others,20.0
2017,others,21.7
2018,others,21.6
2019,others,23.5
2020,others,21.2
2021,others,23.4
2022,others,21.9
2023,others,21.3
2024,others,22.2
2025,others,19.5
2000,professional,70.8
2001,professional,61.1
2002,professional,61.7
2003,professional,65.9
2004,professional,71.3
2005,professional,93.9
2006,professional,99.0
2007,professional,97.2
2008,professional,109.6
2009,professional,109.6
2010,professional,112.5
2011,professional,124.8
2012,professional,135.0
2013,professional,142.8
2014,professional,153.0
2015,professional,166.6
2016,professional,163.0
2017,professional,170.8
2018,professional,174.4
2019,professional,181.5
2020,professional,181.4
2021,professional,196.5
2022,professional,197.6
2023,professional,199.8
2024,professional,197.1
2025,professional,192.6
2000,public_admin_edu,171.3
2001,public_admin_edu,189.2
2002,public_admin_edu,199.0
2003,public_admin_edu,216.4
2004,public_admin_edu,212.2
2005,public_admin_edu,197.3
2006,public_admin_edu,223.4
2007,public_admin_edu,220.5
2008,public_admin_edu,228.5
2009,public_admin_edu,236.3
2010,public_admin_edu,266.7
2011,public_admin_edu,266.3
2012,public_admin_edu,275.1
2013,public_admin_edu,284.8
2014,public_admin_edu,285.2
2015,public_admin_edu,290.7
2016,public_admin_edu,294.9
2017,public_admin_edu,293.7
2018,public_admin_edu,296.9
2019,public_admin_edu,304.3
2020,public_admin_edu,293.9
2021,public_admin_edu,315.6
2022,public_admin_edu,309.6
2023,public_admin_edu,305.6
2024,public_admin_edu,305.7
2025,public_admin_edu,310.5
2000,real_estate,38.4
2001,real_estate,35.7
2002,real_estate,34.3
2003,real_estate,34.5
2004,real_estate,34.7
2005,real_estate,35.6
2006,real_estate,37.7
2007,real_estate,38.5
2008,real_estate,40.8
2009,real_estate,45.0
2010,real_estate,40.2
2011,real_estate,48.9
2012,real_estate,52.0
2013,real_estate,49.3
2014,real_estate,55.6
2015,real_estate,55.4
2016,real_estate,53.5
2017,real_estate,57.6
2018,real_estate,54.0
2019,real_estate,48.7
2020,real_estate,49.8
2021,real_estate,51.0
2022,real_estate,59.7
2023,real_estate,57.2
2024,real_estate,56.3
2025,real_estate,58.8
2000,services,1088.3
2001,services,1154.8
2002,services,1159.6
2003,services,1184.9
2004,services,1221.7
2005,services,1268.4
2006,services,1377.6
2007,services,1377.3
2008,services,1412.0
2009,services,1441.2
2010,services,1530.0
2011,services,1583.4
2012,services,1621.5
2013,services,1647.5
2014,services,1731.2
2015,services,1775.5
2016,services,1816.9
2017,services,1829.4
2018,services,1849.9
2019,services,1894.5
2020,services,1891.3
2021,services,1952.6
2022,services,2006.0
2023,services,2024.8
2024,services,2028.2
2025,services,2043.2
2000,total,1482.6
2001,total,1582.5
2002,total,1573.7
2003,total,1605.4
2004,total,1632.1
2005,total,1647.3
2006,total,1796.7
2007,total,1803.2
2008,total,1852.0
2009,total,1869.4
2010,total,1962.9
2011,total,1998.9
2012,total,2040.6
2013,total,2056.1
2014,total,2103.5
2015,total,2147.8
2016,total,2165.3
2017,total,2175.3
2018,total,2203.7
2019,total,2230.4
2020,total,2222.6
2021,total,2286.5
2022,total,2350.4
2023,total,2352.3
2024,total,2365.6
2025,total,2376.4
2000,transport_storage,149.6
2001,transport_storage,171.0
2002,transport_storage,165.6
2003,transport_storage,163.5
2004,transport_storage,164.2
2005,transport_storage,159.9
2006,transport_storage,174.0
2007,transport_storage,179.9
2008,transport_storage,182.4
2009,transport_storage,179.9
2010,transport_storage,191.3
2011,transport_storage,192.0
2012,transport_storage,189.5
2013,transport_storage,192.6
2014,transport_storage,188.9
2015,transport_storage,187.6
2016,transport_storage,188.4
2017,transport_storage,195.9
2018,transport_storage,199.0
2019,transport_storage,205.5
2020,transport_storage,214.8
2021,transport_storage,200.6
2022,transport_storage,207.4
2023,transport_storage,214.3
2024,transport_storage,197.9
2025,transport_storage,209.0
2000,wholesale_retail,253.7
2001,wholesale_retail,253.8
2002,wholesale_retail,256.4
2003,wholesale_retail,253.7
2004,wholesale_retail,275.4
2005,wholesale_retail,303.6
2006,wholesale_retail,301.1
2007,wholesale_retail,277.0
2008,wholesale_retail,269.5
2009,wholesale_retail,272.4
2010,wholesale_retail,281.7
2011,wholesale_retail,300.5
2012,wholesale_retail,306.3
2013,wholesale_retail,302.2
2014,wholesale_retail,346.3
2015,wholesale_retail,364.1
2016,wholesale_retail,364.1
2017,wholesale_retail,356.2
2018,wholesale_retail,352.5
2019,wholesale_retail,356.0
2020,wholesale_retail,335.1
2021,wholesale_retail,338.6
2022,wholesale_retail,351.8
2023,wholesale_retail,335.8
2024,wholesale_retail,336.0
2025,wholesale_retail,336.7
