year,sector_key,total_employment_thousands
2008,accomm,29.1
2009,accomm,28.0
2010,accomm,33.4
2011,accomm,35.4
2012,accomm,36.0
2013,accomm,35.7
2014,accomm,36.4
2015,accomm,35.9
2016,accomm,36.7
2017,accomm,37.2
2018,accomm,36.5
2019,accomm,36.4
2020,accomm,27.2
2021,accomm,25.6
2022,accomm,30.2
2023,accomm,32.6
2024,accomm,33.5
2025,accomm,33.7
2008,accomm_food,187.7
2009,accomm_food,190.0
2010,accomm_food,205.0
2011,accomm_food,215.1
2012,accomm_food,222.9
2013,accomm_food,230.6
2014,accomm_food,240.8
2015,accomm_food,246.0
2016,accomm_food,253.4
2017,accomm_food,257.9
2018,accomm_food,259.5
2019,accomm_food,271.0
2020,accomm_food,247.7
2021,accomm_food,243.1
2022,accomm_food,262.4
2023,accomm_food,268.5
2024,accomm_food,270.7
2025,accomm_food,271.0
2008,admin_cleaning,41.6
2009,admin_cleaning,43.7
2010,admin_cleaning,45.5
2011,admin_cleaning,46.5
2012,admin_cleaning,48.7
2013,admin_cleaning,54.7
2014,admin_cleaning,59.7
2015,admin_cleaning,66.0
2016,admin_cleaning,73.8
2017,admin_cleaning,79.2
2018,admin_cleaning,79.6
2019,admin_cleaning,82.8
2020,admin_cleaning,78.4
2021,admin_cleaning,79.0
2022,admin_cleaning,81.8
2023,admin_cleaning,82.3
2024,admin_cleaning,84.6
2025,admin_cleaning,87.9
2008,admin_other,76.4
2009,admin_other,79.8
2010,admin_other,87.8
2011,admin_other,94.4
2012,admin_other,97.7
2013,admin_other,100.6
2014,admin_other,107.5
2015,admin_other,114.0
2016,admin_other,113.9
2017,admin_other,116.5
2018,admin_other,118.2
2019,admin_other,120.7
2020,admin_other,110.7
2021,admin_other,114.4
2022,admin_other,112.8
2023,admin_other,113.6
2024,admin_other,116.4
2025,admin_other,118.3
2008,admin_security,30.0
2009,admin_security,32.5
2010,admin_security,33.5
2011,admin_security,35.9
2012,admin_security,36.8
2013,admin_security,38.1
2014,admin_security,40.5
2015,admin_security,42.8
2016,admin_security,44.4
2017,admin_security,47.1
2018,admin_security,48.5
2019,admin_security,49.5
2020,admin_security,48.6
2021,admin_security,48.2
2022,admin_security,47.3
2023,admin_security,47.5
2024,admin_security,49.7
2025,admin_security,49.4
2008,admin_support,148.1
2009,admin_support,156.0
2010,admin_support,166.8
2011,admin_support,176.9
2012,admin_support,183.2
2013,admin_support,193.4
2014,admin_support,207.8
2015,admin_support,222.8
2016,admin_support,232.1
2017,admin_support,242.8
2018,admin_support,246.2
2019,admin_support,253.0
2020,admin_support,237.8
2021,admin_support,241.6
2022,admin_support,241.9
2023,admin_support,243.4
2024,admin_support,250.7
2025,admin_support,255.5
2008,arts_entertainment,34.2
2009,arts_entertainment,42.0
2010,arts_entertainment,52.7
2011,arts_entertainment,55.7
2012,arts_entertainment,55.3
2013,arts_entertainment,54.7
2014,arts_entertainment,56.0
2015,arts_entertainment,56.1
2016,arts_entertainment,55.6
2017,arts_entertainment,55.2
2018,arts_entertainment,56.4
2019,arts_entertainment,54.9
2020,arts_entertainment,40.5
2021,arts_entertainment,38.2
2022,arts_entertainment,50.3
2023,arts_entertainment,54.0
2024,arts_entertainment,55.9
2025,arts_entertainment,58.3
2008,community_other,279.2
2009,community_other,287.4
2010,community_other,295.0
2011,community_other,300.2
2012,community_other,304.3
