year,sector_key,level,total_emp,resident_emp,nonresident_emp,nonresident_share_pct,gdp_million_sgd,gdp_per_worker_thousand_sgd,data_source
1990,construction,1,115.4,54.3,61.1,52.95,3226.9,27.96,reconstructed
1990,manufacturing,1,405.0,323.5,81.5,20.12,17203.1,42.48,reconstructed
1990,others,1,14.3,16.3,-2.0,-13.99,,,reconstructed
1990,services,1,943.3,733.5,209.8,22.24,42822.6,45.4,reconstructed
1991,construction,1,133.1,56.9,76.2,57.25,4258.8,32.0,reconstructed
1991,manufacturing,1,406.3,319.9,86.4,21.27,19996.9,49.22,reconstructed
1991,others,1,14.2,16.1,-1.9,-13.38,,,reconstructed
1991,services,1,976.9,749.5,227.4,23.28,46720.1,47.82,reconstructed
1992,construction,1,144.4,63.0,81.4,56.37,5315.4,36.81,reconstructed
1992,manufacturing,1,398.4,321.6,76.8,19.28,20677.8,51.9,reconstructed
1992,others,1,17.1,19.0,-1.9,-11.11,,,reconstructed
1992,services,1,1011.0,773.2,237.8,23.52,50137.0,49.59,reconstructed
1993,construction,1,170.8,67.0,103.8,60.77,5853.2,34.27,reconstructed
1993,manufacturing,1,395.2,317.4,77.8,19.69,23963.6,60.64,reconstructed
1993,others,1,17.2,19.2,-2.0,-11.63,,,reconstructed
1993,services,1,1058.3,802.8,255.5,24.14,57334.5,54.18,reconstructed
1994,construction,1,183.9,71.3,112.6,61.23,6815.4,37.06,reconstructed
1994,manufacturing,1,406.8,317.2,89.6,22.03,26590.9,65.37,reconstructed
1994,others,1,17.2,19.2,-2.0,-11.63,,,reconstructed
1994,services,1,1105.6,831.6,274.0,24.78,65417.7,59.17,reconstructed
1995,construction,1,224.5,79.3,145.2,64.68,7328.0,32.64,reconstructed
1995,manufacturing,1,419.2,314.3,104.9,25.02,29852.6,71.21,reconstructed
1995,others,1,16.4,18.4,-2.0,-12.2,,,reconstructed
1995,services,1,1162.4,864.9,297.5,25.59,71923.3,61.87,reconstructed
1996,construction,1,277.4,92.2,185.2,66.76,9081.0,32.74,reconstructed
