year,sector_key,total_employment_thousands,resident_employment_thousands,gdp_current_million_sgd,nonresident_employment_thousands,data_quality_flag,level,parent_sector_key,ssic_2020_code,nonresident_share_pct,gdp_per_worker_thousand_sgd,yoy_total_change_pct,yoy_nonresident_change_pct,yoy_resident_change_pct
2009,accomm,28.0,,1910.5,,,3,accomm_food,I55,,68.23,,,
2010,accomm,33.4,,2592.4,,,3,accomm_food,I55,,77.62,19.29,,
2011,accomm,35.4,,3333.3,,,3,accomm_food,I55,,94.16,5.99,,
2012,accomm,36.0,,3494.6,,,3,accomm_food,I55,,97.07,1.69,,
2013,accomm,35.7,,3470.1,,,3,accomm_food,I55,,97.2,-0.83,,
2014,accomm,36.4,,3640.3,,,3,accomm_food,I55,,100.01,1.96,,
2015,accomm,35.9,,3604.7,,,3,accomm_food,I55,,100.41,-1.37,,
2016,accomm,36.7,,3787.3,,,3,accomm_food,I55,,103.2,2.23,,
2017,accomm,37.2,,3942.6,,,3,accomm_food,I55,,105.98,1.36,,
2018,accomm,36.5,,4223.6,,,3,accomm_food,I55,,115.72,-1.88,,
2019,accomm,36.4,,4252.1,,,3,accomm_food,I55,,116.82,-0.27,,
2020,accomm,27.2,,2274.4,,,3,accomm_food,I55,,83.62,-25.27,,
2021,accomm,25.6,,2098.6,,,3,accomm_food,I55,,81.98,-5.88,,
2022,accomm,30.2,,3607.7,,,3,accomm_food,I55,,119.46,17.97,,
2023,accomm,32.6,,5052.4,,,3,accomm_food,I55,,154.98,7.95,,
2024,accomm,33.5,,5460.7,,,3,accomm_food,I55,,163.01,2.76,,
2025,accomm,33.7,,5642.5,,,3,accomm_food,I55,,167.43,0.6,,
2009,accomm_food,190.0,124.9,4970.7,65.1,,2,services,I55-56,34.26,26.16,,,
2010,accomm_food,205.0,128.9,6065.9,76.1,,2,services,I55-56,37.12,29.59,7.89,16.9,3.2
2011,accomm_food,215.1,135.2,7227.9,79.9,,2,services,I55-56,37.15,33.6,4.93,4.99,4.89
2012,accomm_food,222.9,129.3,7847.6,93.6,,2,services,I55-56,41.99,35.21,3.63,17.15,-4.36
2013,accomm_food,230.6,135.1,8208.3,95.5,,2,services,I55-56,41.41,35.6,3.45,2.03,4.49
2014,accomm_food,240.8,137.1,8666.6,103.70000000000002,,2,services,I55-56,43.06,35.99,4.42,8.59,1.48
2015,accomm_food,246.0,139.1,8763.1,106.9,,2,services,I55-56,43.46,35.62,2.16,3.09,1.46
2016,accomm_food,253.4,138.2,9253.4,115.20000000000002,,2,services,I55-56,45.46,36.52,3.01,7.76,-0.65
2017,accomm_food,257.9,134.4,9534.8,123.49999999999996,,2,services,I55-56,47.89,36.97,1.78,7.2,-2.75
2018,accomm_food,259.5,134.4,9958.2,125.1,,2,services,I55-56,48.21,38.37,0.62,1.3,0.0
