month,work_pass_type,count
2017-12,foreign_domestic_worker,"246,800"
2017-12,construction_marine_process,"360,700"
2018-12,foreign_domestic_worker,"253,800"
2018-12,construction_marine_process,"355,700"
2019-12,foreign_domestic_worker,"261,800"
2019-12,construction_marine_process,"370,100"
2020-12,foreign_domestic_worker,"247,400"
2020-12,construction_marine_process,"311,100"
2021-12,foreign_domestic_worker,246300
2021-12,construction_marine_process,318500
2022-12,foreign_domestic_worker,268500
2022-12,construction_marine_process,415000
