year,res_stat,industry1,employment_change
1991,resident,manufacturing,-3.6
1992,resident,manufacturing,1.7
1993,resident,manufacturing,-4.2
1994,resident,manufacturing,-0.2
1995,resident,manufacturing,-2.9
1996,resident,manufacturing,-7.9
1997,resident,manufacturing,-4.2
1998,resident,manufacturing,-19.9
1999,resident,manufacturing,0.4
2000,resident,manufacturing,4.8
2001,resident,manufacturing,-11
2002,resident,manufacturing,-4.2
2003,resident,manufacturing,-1.1
2004,resident,manufacturing,7.4
2005,resident,manufacturing,9.7
2006,resident,manufacturing,11
2007,resident,manufacturing,7.3
2008,resident,manufacturing,-4.6
2009,resident,manufacturing,-8.4
2010,resident,manufacturing,4.8
2011,resident,manufacturing,-0.1
2012,resident,manufacturing,-0.4
2013,resident,manufacturing,1.2
2014,resident,manufacturing,0.5
2015,resident,manufacturing,-6
2016,resident,manufacturing,-6.1
2017,resident,manufacturing,-1.3
2018,resident,manufacturing,-1.5
2019,resident,manufacturing,-2
2020,resident,manufacturing,-2.9
2021,resident,manufacturing,-0.3
2022,resident,manufacturing,-0.9
2023,resident,manufacturing,-1.5
2024,resident,manufacturing,-7.5
2025,resident,manufacturing,0.3
1991,non-resident,manufacturing,4.9
1992,non-resident,manufacturing,-9.6
1993,non-resident,manufacturing,1
1994,non-resident,manufacturing,11.8
1995,non-resident,manufacturing,15.3
1996,non-resident,manufacturing,0.2
1997,non-resident,manufacturing,7.9
1998,non-resident,manufacturing,-7.7
1999,non-resident,manufacturing,4
2000,non-resident,manufacturing,21
2001,non-resident,manufacturing,-4.2
2002,non-resident,manufacturing,-1.2
2003,non-resident,manufacturing,-3.8
2004,non-resident,manufacturing,19.6
2005,non-resident,manufacturing,19.4
2006,non-resident,manufacturing,30.6
2007,non-resident,manufacturing,42
2008,non-resident,manufacturing,24.1
2009,non-resident,manufacturing,-34.3
2010,non-resident,manufacturing,-0.7
2011,non-resident,manufacturing,6.3
2012,non-resident,manufacturing,9.4
2013,non-resident,manufacturing,3.4
2014,non-resident,manufacturing,-4.5
2015,non-resident,manufacturing,-14.4
2016,non-resident,manufacturing,-8.9
2017,non-resident,manufacturing,-9.8
2018,non-resident,manufacturing,-0.6
2019,non-resident,manufacturing,-0.1
2020,non-resident,manufacturing,-34.1
2021,non-resident,manufacturing,-1.7
2022,non-resident,manufacturing,34.9
2023,non-resident,manufacturing,3.7
2024,non-resident,manufacturing,6.6
2025,non-resident,manufacturing,8
1991,resident,construction,2.6
1992,resident,construction,6.1
1993,resident,construction,4
1994,resident,construction,4.3
1995,resident,construction,8
1996,resident,construction,12.9
1997,resident,construction,6.7
1998,resident,construction,-3
1999,resident,construction,1.6
2000,resident,construction,1.7
2001,resident,construction,-3.4
2002,resident,construction,-3.4
2003,resident,construction,1.4
2004,resident,construction,-1.6
2005,resident,construction,2.2
2006,resident,construction,5.3
2007,resident,construction,4.4
2008,resident,construction,5.2
2009,resident,construction,4.5
2010,resident,construction,-3.3
2011,resident,construction,2.2
2012,resident,construction,5.5
2013,resident,construction,6.6
